,course_title,course_rating,course_difficulty,course_students_enrolled,idioma,Plataforma
0,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,4.7,Intermediate,17k,Ingles,Coursera
1,A Crash Course in Data Science,4.5,Mixed,130k,Ingles,Coursera
2,A Law Student's Toolkit,4.7,Mixed,91k,Ingles,Coursera
3,AI For Everyone,4.8,Beginner,350k,Ingles,Coursera
4,AI for Medical Diagnosis,4.7,Intermediate,12k,Ingles,Coursera
5,AI for Medical Prognosis,4.6,Intermediate,4k,Ingles,Coursera
6,AWS Fundamentals: Addressing Security Risk,4.3,Beginner,11k,Ingles,Coursera
7,AWS Fundamentals: Going Cloud-Native,4.7,Beginner,110k,Ingles,Coursera
8,Aboriginal Worldviews and Education,4.7,Mixed,6.6k,Ingles,Coursera
9,Access Controls,4.6,Beginner,2.9k,Ingles,Coursera
10,Accounting Analytics,4.5,Mixed,80k,Ingles,Coursera
11,Actualización en el manejo del paciente con diabetes mellitus tipo 2,4.8,Mixed,23k,Español,Coursera
12,Addiction Treatment: Clinical Skills for Healthcare Providers,4.8,Beginner,9.2k,Ingles,Coursera
13,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.7,Advanced,29k,Ingles,Coursera
14,Advertising and Society,4.8,Mixed,14k,Ingles,Coursera
15,Agile Meets Design Thinking,4.7,Beginner,69k,Ingles,Coursera
16,Agile with Atlassian Jira,4.7,Beginner,40k,Ingles,Coursera
17,Agile и Scrum в работе над проектами и продуктами,4.9,Beginner,12k,Ruso,Coursera
18,Algorithmic Toolbox,4.7,Intermediate,220k,Ingles,Coursera
19,American Contract Law I,4.9,Beginner,18k,Ingles,Coursera
20,An Introduction to American Law,4.8,Beginner,23k,Ingles,Coursera
21,An Introduction to Consumer Neuroscience & Neuromarketing,4.7,Beginner,69k,Ingles,Coursera
22,"Anatomy of the Chest, Abdomen, and Pelvis",4.8,Intermediate,36k,Ingles,Coursera
23,Anatomy: Musculoskeletal and Integumentary Systems,4.8,Beginner,20k,Ingles,Coursera
24,Animal Behaviour and Welfare,4.8,Mixed,71k,Ingles,Coursera
25,Antibiotic Stewardship,4.5,Advanced,11k,Ingles,Coursera
26,Anticorrupción: Introducción a conceptos y perspectiva práctica,4.8,Beginner,11k,Español,Coursera
