,title,price,n_enrolled,Level,language,subject
0,How to Learn Online,$49 ,"124,980",Introductory,English,Education & Teacher Training
1,Programming for Everybody (Getting Started with Python),$49 ,"293,864",Introductory,English,Computer Science
2,CS50's Introduction to Computer Science,$90 ,"2,442,271",Introductory,English,Computer Science
3,The Analytics Edge,$199 ,"129,555",Intermediate,English,Data Analysis & Statistics
4,Marketing Analytics: Marketing Measurement Strategy,$249 ,"81,140",Introductory,English,Computer Science
5,Introduction to Project Management,$199 ,"301,793",Introductory,English,Business & Management
6,Leading High-Performing Teams,$5 ,"32,847",Intermediate,English,Communication
7,The Foundations of Happiness at Work,$199 ,"67,073",Introductory,English,Business & Management
8,"Managing Study, Stress and Mental Health at University",$49 ,"23,061",Introductory,English,Health & Safety
9,Six Sigma: Define and Measure,$99 ,"92,411",Introductory,English,Business & Management
10,Fat Chance: Probability from the Ground Up,$49 ,"66,835",Introductory,English,Math
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,$49 ,"44,711",Introductory,English,Communication
12,Bitcoin and Cryptocurrencies,$99 ,"83,398",Introductory,English,Computer Science
13,English Grammar and Style,$99 ,,Introductory,English,Humanities
14,Ethics in Action,$49 ,"6,366",Intermediate,English,Ethics
15,Introduction to FinTech,$199 ,"72,767",Introductory,English,Economics & Finance
16,Data Science: R Basics,$49 ,"528,782",Introductory,English,Data Analysis & Statistics
17,Python Basics for Data Science,$39 ,"228,809",Introductory,English,Data Analysis & Statistics
18,The Science of Beer,$49 ,"39,085",Introductory,English,Food & Nutrition
19,Strategic Social Media Marketing,$399 ,"103,640",Advanced,English,Business & Management
20,CS50's Introduction to Artificial Intelligence with Python,$199 ,"258,006",Introductory,English,Computer Science
21,CS50's Introduction to Game Development,$149 ,"346,748",Intermediate,English,Computer Science
22,Rhetoric: The Art of Persuasive Writing and Public Speaking,$99 ,"320,225",Introductory,English,Humanities
23,CS50's Web Programming with Python and JavaScript,$90 ,"698,950",Intermediate,English,Computer Science
24,Contract Law: From Trust to Promise to Contract,$125 ,"414,181",Intermediate,English,Business & Management
25,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",$99 ,"380,167",Introductory,English,Biology & Life Sciences
26,Justice,$99 ,"392,588",Introductory,English,Humanities
27,Data Science: Machine Learning,$49 ,"276,209",Introductory,English,Data Analysis & Statistics
28,Child Protection: Children's Rights in Theory and Practice,$99 ,"212,453",Introductory,English,Social Sciences
29,IELTS Academic Test Preparation,$99 ,"1,103,777",Introductory,English,Communication
30,The Architectural Imagination,$99 ,"406,181",Introductory,English,Architecture
31,TOEFL® Test Preparation: The Insider’s Guide,$49 ,"1,022,489",Introductory,English,Communication
32,Principles of Biochemistry,$199 ,"257,600",Intermediate,English,Medicine
33,Using Python for Research,$99 ,"262,183",Intermediate,English,Computer Science
34,Hinduism Through Its Scriptures,$99 ,"140,782",Introductory,English,Humanities
35,Basic Spanish 1: Getting Started,$40 ,"400,169",Introductory,English,Communication
36,The Health Effects of Climate Change,$99 ,"110,024",Introductory,English,Environmental Studies
37,Inglés básico: conversacional y networking,$49 ,"79,671",Introductory,Español,Business & Management
38,Statistics and R,$249 ,"314,586",Intermediate,English,Data Analysis & Statistics
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),$199 ,"145,011",Introductory,English,Chemistry
40,Pyramids of Giza: Ancient Egyptian Art and Archaeology,$99 ,"123,870",Introductory,English,Art & Culture
41,"PredictionX: Omens, Oracles & Prophecies",$25 ,"91,566",Introductory,English,Social Sciences
42,Excel: Fundamentos y herramientas,$50 ,"284,279",Introductory,Español,Computer Science
43,Lessons from Ebola: Preventing the Next Pandemic,$49 ,"91,983",Introductory,English,Social Sciences
44,Improving Global Health: Focusing on Quality and Safety,$99 ,"127,353",Intermediate,English,Social Sciences
45,CS50 for Lawyers,$99 ,"87,336",Introductory,English,Computer Science
46,Data Science: Visualization,$49 ,"171,258",Introductory,English,Data Analysis & Statistics
47,Christianity Through Its Scriptures,$99 ,"125,051",Introductory,English,Humanities
48,The Science of Happiness,$169 ,"475,614",Introductory,English,Social Sciences
49,Leaders of Learning,$99 ,"231,131",Introductory,English,Communication
50,Exercising Leadership: Foundational Principles,$99 ,"57,814",Introductory,English,Business & Management
51,Data Science: Probability,$49 ,"135,859",Introductory,English,Data Analysis & Statistics
52,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,$70 ,"117,410",Intermediate,English,Education & Teacher Training
53,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",$99 ,"80,082",Introductory,English,Medicine
54,Introduction to Family Engagement in Education,$70 ,"105,146",Introductory,English,Education & Teacher Training
55,Italian Language and Culture: Beginner (2019-2020),$49 ,"182,462",Introductory,Italiano,Language
56,Steps in Japanese for Beginners1 Part1,$49 ,"53,630",Introductory,English,Language
57,How to Write an Essay,$49 ,"306,787",Introductory,English,Humanities
58,Energy Within Environmental Constraints,$99 ,"95,324",Introductory,English,Environmental Studies
59,Introduction to Probability,$99 ,"97,291",Intermediate,English,Data Analysis & Statistics
60,AnatomyX: Musculoskeletal Cases,$99 ,"102,075",Intermediate,English,Medicine
61,Data Science: Inference and Modeling,$49 ,"88,256",Introductory,English,Data Analysis & Statistics
62,Strengthening Community Health Worker Programs,$79 ,"58,626",Introductory,English,Health & Safety
63,Buddhism Through Its Scriptures,$99 ,"182,295",Introductory,English,Humanities
64,Introduction to Linux,$199 ,"642,088",Introductory,English,Computer Science
65,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",$99 ,"81,221",Introductory,English,Medicine
66,Shakespeare's Life and Work,$49 ,"48,938",Introductory,English,Humanities
67,Marketing Digital: Content & Community Manager,$49 ,"112,623",Introductory,Español,Communication
68,Accounting and Finance,$150 ,"88,243",Intermediate,English,Business & Management
69,Computing in Python I: Fundamentals and Procedural Programming,$99 ,"141,966",Introductory,English,Computer Science
70,"Nutrition, Exercise and Sports",$49 ,"51,679",Intermediate,English,Food & Nutrition
71,Becoming an Entrepreneur,$69 ,"104,760",Introductory,English,Business & Management
72,"Religion, Conflict and Peace",$49 ,"74,060",Introductory,English,Humanities
73,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",$49 ,"61,139",Introductory,English,Humanities
74,Academic and Business Writing,$49 ,"322,701",Introductory,English,Communication
75,Data Science: Capstone,$99 ,"62,803",Introductory,English,Data Analysis & Statistics
76,Basics of Computing and Programming,$200 ,"37,045",Introductory,English,Computer Science
