,course_title,price,num_subscribers,level,subject,idioma
0,Ultimate Investment Banking Course,200,2147,All Levels,Business Finance,Ingles
1,Complete GST Course & Certification - Grow Your CA Practice,75,2792,All Levels,Business Finance,Ingles
2,Financial Modeling for Business Analysts and Consultants,45,2174,Intermediate Level,Business Finance,Ingles
3,Beginner to Pro - Financial Analysis in Excel 2017,95,2451,All Levels,Business Finance,Ingles
4,How To Maximize Your Profits Trading Options,200,1276,Intermediate Level,Business Finance,Ingles
5,Trading Penny Stocks: A Guide for All Levels In 2017,150,9221,All Levels,Business Finance,Ingles
6,Investing And Trading For Beginners: Mastering Price Charts,65,1540,Beginner Level,Business Finance,Ingles
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",95,2917,All Levels,Business Finance,Ingles
8,Options Trading 3 : Advanced Stock Profit and Success Method,195,5172,Expert Level,Business Finance,Ingles
9,The Only Investment Strategy You Need For Your Retirement,200,827,All Levels,Business Finance,Ingles
10,Forex Trading Secrets of the Pros With Amazon's AWS,200,4284,All Levels,Business Finance,Ingles
11,Trading Options With Money Flow,200,1380,All Levels,Business Finance,Ingles
12,Financial Management Risk and Return For Securities,30,3607,All Levels,Business Finance,Ingles
13,Forex Trading Course: Work Smarter Not Harder Proven Results,195,4061,All Levels,Business Finance,Ingles
14,Python Algo Trading: Sentiment Trading with News,200,294,All Levels,Business Finance,Ingles
15,Short Selling: Learn To Sell Stocks Before The Fall,75,2276,Intermediate Level,Business Finance,Ingles
16,Basic Technical Analysis: Learn the structure of the market,20,4919,Beginner Level,Business Finance,Ingles
17,The Complete Chart Pattern Trading Course: A Proven Approach,200,2666,All Levels,Business Finance,Ingles
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,50,5354,All Levels,Business Finance,Ingles
19,Financial Statements Made Easy,95,8095,Beginner Level,Business Finance,Ingles
20,Winning Forex Trading with Live Forex Trading Examples,200,809,All Levels,Business Finance,Ingles
21,Forex Traders - Create Your First Trading Robot. No Coding!,200,2295,All Levels,Business Finance,Ingles
22,Create A Business From Home Trading Stocks Today In 2017,75,10149,All Levels,Business Finance,Ingles
23,Introduction to Accounting : Mastering Financial Statements,50,1916,Beginner Level,Business Finance,Ingles
24,The Complete Ethereum Course: Get .01 Ether In Your Wallet,45,2507,All Levels,Business Finance,Ingles
25,Beginner to Pro in PowerPoint: Complete PowerPoint Training,150,5786,All Levels,Business Finance,Ingles
26,Investing 101: The Complete Online Investing Course,200,5334,All Levels,Business Finance,Ingles
27,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175,4005,Intermediate Level,Business Finance,Ingles
28,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150,2877,All Levels,Business Finance,Ingles
29,Forex Trading: Your Complete Guide to Get Started Like a Pro,140,1026,Beginner Level,Business Finance,Ingles
30,Python Algo Stock Trading: Automate Your Trading!,95,1165,Beginner Level,Business Finance,Ingles
31,THE Forex Robot: Incredible ROI (Robot Included),200,1843,All Levels,Business Finance,Ingles
32,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,8797,All Levels,Business Finance,Ingles
33,Mastering High Probability Iron Condor Options Trading,200,1030,All Levels,Business Finance,Ingles
34,The Complete Short Course on Ethereum,200,1041,All Levels,Business Finance,Ingles
35,Options Trading Stocks: Proven Toolbox For Financial Success,195,7884,Intermediate Level,Business Finance,Ingles
36,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,16900,Beginner Level,Business Finance,Ingles
37,"Introduction to Finance, Accounting, Modeling and Valuation",200,11441,All Levels,Business Finance,Ingles
38,Beginner to Pro in Excel: Financial Modeling and Valuation,195,22257,All Levels,Business Finance,Ingles
39,The Complete Investment Banking Course 2017,195,8575,All Levels,Business Finance,Ingles
40,The Complete Financial Analyst Course 2017,195,24481,All Levels,Business Finance,Ingles
41,Python for Finance: Investment Fundamentals & Data Analytics,195,3811,All Levels,Business Finance,Ingles
42,Financial Modeling for Startups & Small Businesses,195,4991,Beginner Level,Business Finance,Ingles
43,Options Trading - How to Win with Weekly Options,115,7489,Intermediate Level,Business Finance,Ingles
44,Black Algo Trading: Build Your Trading Robot,200,20195,All Levels,Business Finance,Ingles
45,Accounting & Financial Statement Analysis: Complete Training,150,10042,All Levels,Business Finance,Ingles
46,Cryptocurrency Trading: Complete Guide To Trading Altcoins,95,367,All Levels,Business Finance,Ingles
47,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200,10603,All Levels,Business Finance,Ingles
48,Three Steps Trading - Live Trading - Real Account,190,1197,All Levels,Business Finance,Ingles
49,Option Trading for Rookies:  Understand Options Completely,150,2893,All Levels,Business Finance,Ingles
50,How I Learned Stock Trading (and How You Can Too),200,1580,Expert Level,Business Finance,Ingles
51,Learn to Trade for Profit: Find and Trade Winning Stocks,95,10605,All Levels,Business Finance,Ingles
52,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,125,2996,Intermediate Level,Business Finance,Ingles
53,Four Fundamentals of Financial Planning,30,6219,All Levels,Business Finance,Ingles
54,Options Trading - Calendar Spread Course for Every Trader,200,1113,All Levels,Business Finance,Ingles
55,Dividend Investing: Build Your Portfolio for a Better Future,60,8314,Beginner Level,Business Finance,Ingles
56,Learn Accounting. Understand Business.,200,5572,Beginner Level,Business Finance,Ingles
57,How to Consistently Win Trading Stocks in 30 Days or Less,145,1433,Intermediate Level,Business Finance,Ingles
58,A Beginner's Guide to Quantopian Futures API,20,936,Intermediate Level,Business Finance,Ingles
59,How to Buy Cheap Options - Options Trading Pricing Model,200,658,All Levels,Business Finance,Ingles
60,Excel Crash Course: Master Excel for Financial Analysis,105,8121,All Levels,Business Finance,Ingles
61,"Comprehensive Guide to Financial Markets, Investing &Trading",60,4187,Beginner Level,Business Finance,Ingles
62,Stock Trading Ninja: Complete System For Trading Success,155,9445,All Levels,Business Finance,Ingles
63,Hedge and Mutual Fund Careers: The Complete Guide,200,3255,All Levels,Business Finance,Ingles
64,Algorithmic Trading In Forex: Create Your First Forex Robot!,185,7941,All Levels,Business Finance,Ingles
65,The Power Modeling Bootcamp: Advanced Excel in 10 Days,150,1680,All Levels,Business Finance,Ingles
66,Options Trading Basics (3-Course Bundle),180,10100,Beginner Level,Business Finance,Ingles
67,How to Win 97% of Your Options Trades,125,5050,All Levels,Business Finance,Ingles
68,How I Make Consistent Returns Trading Options,200,2310,All Levels,Business Finance,Ingles
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!",185,5528,All Levels,Business Finance,Ingles
70,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,6451,All Levels,Business Finance,Ingles
71,Options Trading Introduction: Day Trade Stock Options,95,12394,Beginner Level,Business Finance,Ingles
72,The Almost Perfect Options Trading Strategy System - Unique,200,1793,All Levels,Business Finance,Ingles
73,Forex Trading -  Learn to Trade Forex Like the Banks,20,3223,All Levels,Business Finance,Ingles
74,Learn to Trade for Profit:Trading with Japanese Candlesticks,60,16385,Beginner Level,Business Finance,Ingles
75,The Most Powerful Options Spread Trading Front Ratio Spread,200,1487,All Levels,Business Finance,Ingles
