,name
0,Machine Learning
1,Indigenous Canada
2,The Science of Well-Being
3,Technical Support Fundamentals
4,Become a CBRS Certified Professional Installer by Google
5,Financial Markets
6,Introduction to Psychology
7,Programming for Everybody (Getting Started with Python)
8,The Bits and Bytes of Computer Networking
9,AI For Everyone
10,Crash Course on Python
11,Psychological First Aid
12,Neural Networks and Deep Learning
13,What is Data Science?
14,Successful Negotiation: Essential Strategies and Skills
15,Fundamentals of Project Planning and Management
16,Project Launch
17,"Brand Management: Aligning Business, Brand and Behaviour"
18,Writing in the Sciences
19,Stanford Introduction to Food and Health
20,"HTML, CSS, and Javascript for Web Developers"
21,Excel Skills for Business: Essentials
22,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator
23,"Everyday Excel, Part 1"
24,Learning How to Learn: Powerful mental tools to help you master tough subjects
25,Google Cloud Platform Fundamentals: Core Infrastructure
26,Viral Marketing and How to Craft Contagious Content
27,Python Data Structures
28,Private Equity and Venture Capital
29,First Step Korean
30,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning"
31,Operating Systems and You: Becoming a Power User
32,Tools for Data Science
33,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization"
34,Diversity and inclusion in the workplace
35,Design and Interpretation of Clinical Trials
36,Visual Elements of User Interface Design
37,Management of Fashion and Luxury Companies
38,Primeros Auxilios Psicológicos (PAP)
39,Social Psychology
40,Initiating and Planning Projects
41,Computational Thinking for Problem Solving
42,Agile with Atlassian Jira
43,Fundamentals of Graphic Design
44,Introduction to User Experience Design
45,Introduction to Marketing
46,Python for Data Science and AI
47,Marketing Analytics
48,Natural Language Processing with Classification and Vector Spaces
49,Fundamentals of Quantitative Modeling
50,How to Manage a Remote Team
51,Mathematics for Machine Learning: Linear Algebra
52,Introduction to Data Science in Python
53,Customer Analytics
54,Introduction to Psychology
55,English for Career Development
56,Global Diplomacy – Diplomacy in the Modern World
57,Game Theory
58,SQL for Data Science
59,Write Professional Emails in English
60,Medical Neuroscience
61,System Administration and IT Infrastructure Services
62,International Women's Health and Human Rights
63,Child Nutrition and Cooking
64,Understanding the Brain: The Neurobiology of Everyday Life
65,Introduction to Social Media Marketing
66,Forensic Accounting and Fraud Examination
67,Clinical Terminology for International and U.S. Students
68,Science of Exercise
69,Digital Product Management: Modern Fundamentals
70,Data Science Math Skills
71,Structuring Machine Learning Projects
72,An Introduction to American Law
73,The Strategy of Content Marketing
74,Introduction to Cybersecurity Tools & Cyber Attacks
75,The Data Scientist’s Toolbox
76,Animal Behaviour and Welfare
77,Convolutional Neural Networks in TensorFlow
78,Positive Psychology: Martin E. P. Seligman’s Visionary Science
79,Introduction to the Biology of Cancer
80,Convolutional Neural Networks
81,Using Python to Access Web Data
82,Introductory Human Physiology
83,Introduction to Systematic Review and Meta-Analysis
84,Organizational Analysis
85,Communication Strategies for a Virtual Age
86,Moral Foundations of Politics
87,Étudier en France: French Intermediate course B1-B2
88,Managing the Company of the Future
89,Finance for Non-Finance Professionals
90,Site Reliability Engineering: Measuring and Managing Reliability
91,Autism Spectrum Disorder
92,Data Science Methodology
93,Introduction to Financial Accounting
94,Marketing in a Digital World
95,Wind Energy
96,Principles of Sustainable Finance
97,Financial Engineering and Risk Management Part I
98,Introduction to Philosophy
99,Business Metrics for Data-Driven Companies
100,Python Basics
101,Introduction to Sustainability
102,Positive Psychiatry and Mental Health
103,Cryptography I
104,Learning to Teach Online
105,IT Security: Defense against the digital dark arts
106,Entreprise et changement climatique
107,An Introduction to Consumer Neuroscience & Neuromarketing
108,Gamification
109,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms"
110,Contabilidad para no contadores
111,Using Python to Interact with the Operating System
112,Object-Oriented Data Structures in C++
113,Google Cloud Platform Big Data and Machine Learning Fundamentals
114,Databases and SQL for Data Science
115,Natural Language Processing in TensorFlow
116,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital"
117,Natural Language Processing with Probabilistic Models
118,Vital Signs: Understanding What the Body Is Telling Us
119,Understanding Research Methods
120,IBM Customer Engagement Specialist Professional Certificate
121,Introduction to Calculus
122,Camino a la Excelencia en Gestión de Proyectos
123,Introduction to HTML5
124,Wine Tasting: Sensory Techniques for Wine Analysis
125,Excel Skills for Business: Intermediate I
126,"Programming Foundations with JavaScript, HTML and CSS"
127,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)
128,Food & Beverage Management
129,Data Analysis with Python
130,Project Planning
131,Agile Meets Design Thinking
132,AWS Fundamentals: Going Cloud-Native
133,Construction Project Management
134,Introduction to Mathematical Thinking
135,Everyday Parenting: The ABCs of Child Rearing
136,Introduction to Healthcare
137,Machine Learning with Python
